YEAR,MANUFHandguns,EXPORTHandguns,IMPORTHandguns,MANUFRifles,EXPORTRifles,IMPORTRifles,MANUFShotguns,EXPORTShotguns,IMPORTShotguns
1986,1424387,121082,231000,970507,37224,269000,641482,58943,201000
1987,1687073,159552,342113,1007661,42161,413780,857949,76337,307620
1988,1855755,131859,621620,1144707,53896,282640,928070,68699,372008
1989,2033326,118464,440132,1407400,73247,293152,935541,67559,274497
1990,1841922,180218,448517,1211664,71834,203505,848948,104250,191787
1991,1835218,189333,293231,883482,91067,311285,828426,117801,116141
1992,2138950,190002,981588,1001833,90015,1423189,1018204,119127,441933
1993,2655654,150694,1204685,1173694,94272,1592522,1144940,171475,246114
1994,2590748,172894,915168,1316607,81835,847868,1254926,146524,117866
1995,1722948,229603,706093,1411120,90834,261185,1173645,101301,136126
1996,1486472,154194,490554,1424315,74557,262568,925732,97191,128456
1997,1406505,107838,474182,1251341,76626,358937,915978,86263,106296
1998,1284755,45325,531681,1535690,65807,248742,868639,89699,219387
1999,1331230,83279,308052,1569685,65669,198191,1106995,67342,385556
2000,1281861,76766,465903,1583042,49642,298894,898442,35087,331985
2001,946979,64813,710958,1284554,50685,227608,679813,46174,428330
2002,1088584,56742,741845,1515286,60644,507637,741325,31897,379755
2003,1121024,42864,630263,1430324,62522,428837,726078,29537,407402
2004,1022650,39081,838856,1325138,62403,564953,731769,31025,507050
2005,1077630,48467,878172,1431372,92098,682100,709313,46129,546403
2006,1406329,172899,1166309,1496505,102829,659393,714618,57771,606820
2007,1610998,79715,1386460,1610923,80594,631781,645231,26949,725752
2008,2041134,82235,1468062,1734536,104544,602364,630710,41186,535960
2009,2415453,88779,2184417,2248851,61072,864010,752699,36455,558679
2010,2817377,105327,1782585,1830556,76518,547449,743378,43361,509913
2011,3170990,144256,1725276,2318088,79256,998072,862401,54878,529056
2012,4155240,147956,2627201,3168206,81355,1243924,949010,42858,973465
2013,5167008,188889,3095528,3979570,131718,1507776,1203072,49766,936235
2014,NA,NA,2185037,NA,NA,791892,NA,NA,648339
