"code","iso","country","CXN.1995","CXN.1996","CXN.1997","CXN.1998","CXN.1999","CXN.2000","CXN.2001","CXN.2002","CXN.2003","CXN.2004","CXN.2005","CXN.2006","CXN.2007","CXN.2008","CXN.2009","CXN.2010","CXN.2011","CXN.2012","CXN.2013","CXN.2014"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8,-9999,-9999,8
8,"ALB","Albania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77,-9999,-9999,77
12,"DZA","Algeria",55.7,-9999,-9999,66.3,-9999,83,83,83,83,83,85,85,85,86,86,86,95,-9999,-9999,85.25
16,"ASM","American Samoa",30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.1,-9999,-9999,-9999,41.1
20,"AND","Andorra",-9999,-9999,-9999,-9999,100,100,100,100,100,100,100,100,100,-9999,-9999,-9999,-9999,-9999,-9999,100
24,"AGO","Angola",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14,-9999,-9999,14,-9999,-9999,14
660,"AIA","Anguilla",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,"ATG","Antigua and Barbuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,"ARG","Argentina",-9999,-9999,-9999,-9999,-9999,-9999,42.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,47,-9999,-9999,44.75
51,"ARM","Armenia",64.1,-9999,-9999,-9999,-9999,63.3,62.8,58.8,60.2,61.6,65.1,66.1,67,66.8,67,-9999,92,-9999,-9999,66.4272727272727
533,"ABW","Aruba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,"AUS","Australia",-9999,-9999,-9999,-9999,-9999,-9999,90,-9999,-9999,87,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,92.3333333333333
40,"AUT","Austria",76,-9999,-9999,82,-9999,85,86,86,89,89,-9999,92,-9999,93,-9999,-9999,94,-9999,-9999,89.25
31,"AZE","Azerbaijan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,30,30,50,50,31.2,31.4,-9999,92,-9999,-9999,43.075
44,"BHS","Bahamas",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
48,"BHR","Bahrain",64,65,66,69,71,74,75,77,79,83,86,87,88,-9999,-9999,-9999,64,-9999,-9999,79.2222222222222
50,"BGD","Bangladesh",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,-9999,-9999,9
52,"BRB","Barbados",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112,"BLR","Belarus",-9999,94.1,90.2,91,92.9,90.1,90.1,94,92.8,90.8,98.3,96.1,94.9,-9999,-9999,-9999,86,-9999,-9999,92.5666666666667
56,"BEL","Belgium",81,81,81,81,81,81,81,81,83,85,86,87,89,-9999,-9999,-9999,71,-9999,-9999,82.6666666666667
84,"BLZ","Belize",-9999,-9999,-9999,-9999,-9999,15.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.1
204,"BEN","Benin",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,4.2,-9999,2.1
60,"BMU","Bermuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,5,5,5,5,-9999,-9999,-9999,-9999,5
64,"BTN","Bhutan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,10
68,"BOL","Bolivia",-9999,25.3,28.6,34.5,32.5,34.6,31.1,30.9,31.4,-9999,36.4,31.9,37.7,43.9,-9999,-9999,61,-9999,-9999,37.6555555555556
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77,-9999,-9999,77
72,"BWA","Botswana",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19,-9999,-9999,19
76,"BRA","Brazil",37.1,38.1,38.6,40.2,41.3,-9999,43.2,44,45.5,45.4,45.5,45.9,48.6,50.2,-9999,-9999,57,-9999,-9999,47.2555555555556
92,"VGB","British Virgin Islands",-9999,-9999,-9999,-9999,-9999,-9999,24.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.5
96,"BRN","Brunei Darussalam",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,-9999,-9999,-9999,44
100,"BGR","Bulgaria",67,67,67,67,67,67,68,68,69,69,69,69,70,70,70,-9999,91,-9999,-9999,70.9090909090909
854,"BFA","Burkina Faso",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1
108,"BDI","Burundi",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,12,-9999,-9999,6
116,"KHM","Cambodia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,46,-9999,-9999,24.25
120,"CMR","Cameroon",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,2
