"country","year","UNSD_treat","UNSD_con"
"Afghanistan",1990,-9999,-9999
"Afghanistan",1995,-9999,-9999
"Afghanistan",1996,-9999,-9999
"Afghanistan",1997,-9999,-9999
"Afghanistan",1998,-9999,-9999
"Afghanistan",1999,-9999,-9999
"Afghanistan",2000,-9999,-9999
"Afghanistan",2001,-9999,-9999
"Afghanistan",2002,-9999,-9999
"Afghanistan",2003,-9999,-9999
"Afghanistan",2004,-9999,-9999
"Afghanistan",2005,-9999,-9999
"Afghanistan",2006,-9999,-9999
"Afghanistan",2007,-9999,-9999
"Afghanistan",2008,-9999,-9999
"Afghanistan",2009,-9999,-9999
"Albania",1990,-9999,-9999
"Albania",1995,-9999,-9999
"Albania",1996,-9999,-9999
"Albania",1997,-9999,-9999
"Albania",1998,-9999,-9999
"Albania",1999,-9999,-9999
"Albania",2000,-9999,-9999
"Albania",2001,-9999,-9999
"Albania",2002,-9999,-9999
"Albania",2003,-9999,-9999
"Albania",2004,-9999,-9999
"Albania",2005,0.8,-8888
"Albania",2006,0.8,-8888
"Albania",2007,5.6,-8888
"Albania",2008,7.3,-8888
"Albania",2009,7.3,-8888
"Algeria",1990,-8888,48.3
"Algeria",1995,-8888,55.7
"Algeria",1996,-9999,-9999
"Algeria",1997,-9999,-9999
"Algeria",1998,-8888,66.3
"Algeria",1999,-9999,-9999
"Algeria",2000,30,83
"Algeria",2001,30,83
"Algeria",2002,32,83
"Algeria",2003,32,83
"Algeria",2004,39,83
"Algeria",2005,39,85
"Algeria",2006,45,85
"Algeria",2007,48,85
"Algeria",2008,53,86
"Algeria",2009,-8888,86
"American Samoa",1990,-9999,-9999
"American Samoa",1995,-9999,-9999
"American Samoa",1996,-9999,-9999
"American Samoa",1997,-9999,-9999
"American Samoa",1998,-9999,-9999
"American Samoa",1999,-9999,-9999
"American Samoa",2000,-9999,-9999
"American Samoa",2001,-9999,-9999
"American Samoa",2002,-9999,-9999
"American Samoa",2003,-9999,-9999
"American Samoa",2004,-9999,-9999
"American Samoa",2005,-9999,-9999
"American Samoa",2006,-9999,-9999
"American Samoa",2007,-9999,-9999
"American Samoa",2008,-9999,-9999
"American Samoa",2009,-9999,-9999
"Andorra",1990,-9999,-9999
"Andorra",1995,-9999,-9999
"Andorra",1996,-9999,-9999
"Andorra",1997,-9999,-9999
"Andorra",1998,-9999,-9999
"Andorra",1999,3.7,100
"Andorra",2000,3.6,100
"Andorra",2001,3.5,100
"Andorra",2002,17.1,100
"Andorra",2003,19.6,100
"Andorra",2004,31.1,100
"Andorra",2005,47.7,100
"Andorra",2006,86.4,100
"Andorra",2007,98,100
"Andorra",2008,-9999,-9999
"Andorra",2009,-9999,-9999
"Angola",1990,-9999,-9999
"Angola",1995,-9999,-9999
"Angola",1996,-9999,-9999
"Angola",1997,-9999,-9999
"Angola",1998,-9999,-9999
"Angola",1999,-9999,-9999
"Angola",2000,-9999,-9999
"Angola",2001,-9999,-9999
"Angola",2002,-9999,-9999
"Angola",2003,-9999,-9999
"Angola",2004,-9999,-9999
"Angola",2005,-9999,-9999
"Angola",2006,-9999,-9999
"Angola",2007,-9999,-9999
"Angola",2008,-9999,-9999
"Angola",2009,-9999,-9999
"Anguilla",1990,-9999,-9999
"Anguilla",1995,-9999,-9999
"Anguilla",1996,-9999,-9999
"Anguilla",1997,-9999,-9999
"Anguilla",1998,-9999,-9999
"Anguilla",1999,-9999,-9999
"Anguilla",2000,-9999,-9999
"Anguilla",2001,-9999,-9999
"Anguilla",2002,-9999,-9999
"Anguilla",2003,-9999,-9999
"Anguilla",2004,-9999,-9999
"Anguilla",2005,-9999,-9999
"Anguilla",2006,-9999,-9999
"Anguilla",2007,-9999,-9999
"Anguilla",2008,-9999,-9999
"Anguilla",2009,-9999,-9999
"Antigua and Barbuda",1990,-9999,-9999
"Antigua and Barbuda",1995,-9999,-9999
"Antigua and Barbuda",1996,-9999,-9999
