"code","iso","country","PINSETCXN.2011"
4,"AFG","Afghanistan",8
8,"ALB","Albania",77
12,"DZA","Algeria",95
16,"ASM","American Samoa",-9999
20,"AND","Andorra",-9999
24,"AGO","Angola",14
660,"AIA","Anguilla",-9999
28,"ATG","Antigua and Barbuda",-9999
32,"ARG","Argentina",47
51,"ARM","Armenia",92
533,"ABW","Aruba",-9999
36,"AUS","Australia",100
40,"AUT","Austria",94
31,"AZE","Azerbaijan",92
44,"BHS","Bahamas",-9999
48,"BHR","Bahrain",64
50,"BGD","Bangladesh",9
52,"BRB","Barbados",-9999
112,"BLR","Belarus",86
56,"BEL","Belgium",71
84,"BLZ","Belize",-9999
204,"BEN","Benin",0
60,"BMU","Bermuda",-9999
64,"BTN","Bhutan",10
68,"BOL","Bolivia",61
70,"BIH","Bosnia and Herzegovina",77
72,"BWA","Botswana",19
76,"BRA","Brazil",57
92,"VGB","British Virgin Islands",-9999
96,"BRN","Brunei Darussalam",-9999
100,"BGR","Bulgaria",91
854,"BFA","Burkina Faso",1
108,"BDI","Burundi",12
116,"KHM","Cambodia",46
120,"CMR","Cameroon",2
124,"CAN","Canada",88
132,"CPV","Cape Verde",-9999
136,"CYM","Cayman Islands",-9999
140,"CAF","Central African Republic",1
148,"TCD","Chad",3
152,"CHL","Chile",92
156,"CHN","China",56
170,"COL","Colombia",92
174,"COM","Comoros",-9999
178,"COG","Congo",9
184,"COK","Cook Islands",-9999
188,"CRI","Costa Rica",27
384,"CIV","Cote d'Ivoire",12
191,"HRV","Croatia",79
192,"CUB","Cuba",53
196,"CYP","Cyprus",73
203,"CZE","Czech Republic",97
180,"COD","Dem. Rep. Congo",4
208,"DNK","Denmark",99
262,"DJI","Djibouti",7
212,"DMA","Dominica",-9999
214,"DOM","Dominican Republic",24
218,"ECU","Ecuador",64
818,"EGY","Egypt",74
222,"SLV","El Salvador",62
226,"GNQ","Equatorial Guinea",25
232,"ERI","Eritrea",23
233,"EST","Estonia",90
231,"ETH","Ethiopia",1
234,"FRO","Faeroe Islands",-9999
238,"FLK","Falkland Islands",-9999
242,"FJI","Fiji",39
246,"FIN","Finland",95
250,"FRA","France",93
254,"GUF","French Guiana",-9999
258,"PYF","French Polynesia",-9999
266,"GAB","Gabon",6
270,"GMB","Gambia",8
268,"GEO","Georgia",80
276,"DEU","Germany",100
288,"GHA","Ghana",4
292,"GIB","Gibraltar",-9999
300,"GRC","Greece",90
304,"GRL","Greenland",-9999
308,"GRD","Grenada",-9999
312,"GLP","Guadeloupe",-9999
316,"GUM","Guam",-9999
320,"GTM","Guatemala",72
324,"GIN","Guinea",0
624,"GNB","Guinea-Bissau",13
328,"GUY","Guyana",13
332,"HTI","Haiti",3
336,"VAT","Holy See",-9999
340,"HND","Honduras",63
344,"HKG","Hong Kong",100
348,"HUN","Hungary",70
352,"ISL","Iceland",-9999
356,"IND","India",33
360,"IDN","Indonesia",1
364,"IRN","Iran",30
368,"IRQ","Iraq",37
372,"IRL","Ireland",97
833,"IMN","Isle of Man",-9999
376,"ISR","Israel",94
380,"ITA","Italy",90
388,"JAM","Jamaica",30
392,"JPN","Japan",72
400,"JOR","Jordan",67
398,"KAZ","Kazakhstan",61
404,"KEN","Kenya",34
296,"KIR","Kiribati",-9999
414,"KWT","Kuwait",100
417,"KGZ","Kyrgyzstan",42
418,"LAO","Laos",7
428,"LVA","Latvia",83
422,"LBN","Lebanon",47
426,"LSO","Lesotho",6
430,"LBR","Liberia",8
434,"LBY","Libya",54
438,"LIE","Liechtenstein",-9999
440,"LTU","Lithuania",91
442,"LUX","Luxembourg",-9999
446,"MAC","Macao",-9999
807,"MKD","Macedonia",70
450,"MDG","Madagascar",5
454,"MWI","Malawi",1
458,"MYS","Malaysia",42
462,"MDV","Maldives",-9999
466,"MLI","Mali",8
470,"MLT","Malta",-9999
584,"MHL","Marshall Islands",-9999
474,"MTQ","Martinique",-9999
478,"MRT","Mauritania",2
480,"MUS","Mauritius",42
175,"MYT","Mayotte",-9999
484,"MEX","Mexico",89
583,"FSM","Micronesia",-9999
498,"MDA","Moldova",70
492,"MCO","Monaco",-9999
496,"MNG","Mongolia",33
499,"MNE","Montenegro",67
500,"MSR","Montserrat",-9999
504,"MAR","Morocco",79
508,"MOZ","Mozambique",5
104,"MMR","Myanmar",6
516,"NAM","Namibia",73
520,"NRU","Nauru",-9999
524,"NPL","Nepal",17
528,"NLD","Netherlands",99
530,"ANT","Netherlands Antilles",-9999
540,"NCL","New Caledonia",-9999
554,"NZL","New Zealand",95
558,"NIC","Nicaragua",40
562,"NER","Niger",4
566,"NGA","Nigeria",11
570,"NIU","Niue",-9999
574,"NFK","Norfolk Island",-9999
408,"PRK","North Korea",9
580,"MNP","Northern Mariana Islands",-9999
578,"NOR","Norway",80
512,"OMN","Oman",67
586,"PAK","Pakistan",54
585,"PLW","Palau",-9999
591,"PAN","Panama",47
598,"PNG","Papua New Guinea",10
600,"PRY","Paraguay",20
604,"PER","Peru",61
608,"PHL","Philippines",10
612,"PCN","Pitcairn",-9999
616,"POL","Poland",84
620,"PRT","Portugal",95
630,"PRI","Puerto Rico",-9999
634,"QAT","Qatar",-8888
638,"REU","Reunion",-9999
642,"ROU","Romania",79
643,"RUS","Russia",86
646,"RWA","Rwanda",10
654,"SHN","Saint Helena",-9999
659,"KNA","Saint Kitts and Nevis",-9999
662,"LCA","Saint Lucia",-9999
666,"SPM","Saint Pierre and Miquelon",-9999
670,"VCT","Saint Vincent and the Grenadines",-9999
