392,JPN,Japan,National,Total,Population Connected Rate,0,88.1,percent,2012,0,"FY 2012 Dissemination Status of Wastewater Treatment Facilities, Japanese Ministry of Enviornment","http://www.env.go.jp/en/headline/headline.php?serial=2000 ; Note: ""sewerage only"" - need to clarify compare to  ""dissemination rate"" ;  ;  ;  ; WM"
392,JPN,Japan,National,Total,Population Connected Rate,0,77,percent,2010,0,"WEPA Outlook on Water Environmental Management in Asia 2012, Asia Development Bank",Note: corroborates range of values from self-reported data from Japan's statistics office ;  ;  ;  ;  ; WM
204,BEN,Benin,National,Total,Population Connected Rate,0,4.2,percent,2012,0,Benin Institute of Statistics and Economic Analysis,4.2 percent of households. ; http://www.insae-bj.org/2012/doc/indicateurs.pdf (translated version on box). See wastewater data on page 10 and 11 ;  ;  ;  ; NH
204,BEN,Benin,National,Urban,Population Connected Rate,0,0,percent,2011,1,Pinsent Masons Water Yearbook 2012-2013,"Value from David Lloyd Owen's spreadsheet. ; Other potential source: also found a report that is in French but the translation of the first page reads, ""This document presents the main indicators of the Monitoring Survey conducted in EMICoV Benin during the period February to May 2010 by the National Institute of Statistics and Economic Analysis (INSAE). The EMICoV-monitoring has received financial support Government of Benin, the Millennium Challenge Account (MCA-Benin) project of the Netherlands Embassy, UNDP and UNICEF"" http://www.insae-bj.org/2012/doc/Publications/document_indicateurs_emicov%20suivi%202010.pdf ;  ;  ;  ; NH"
12,DZA,Algeria,National,Total,Population Connected Rate,0,86,percent,2010,0,"Algeria Ministry of Water Resources. (2011, May 22-24).  Experts Consultation on Wastewater Management in the Arab World.  Presented by Hassina Hamouche;  (Check WHO & UNICEF Joint Monitoring Programme for Water Supply & Sanitation)",Total wastewater estimated based off amount of drinking water; produced wastewater increasing rapidly ;  ;  ;  ;  ; AA
818,EGY,Egypt,National,Total,Population Connected Rate,0,86,percent,2009,1,"Arab Countries Water Utility Association.  (2010, March).  Wastewater Reuse in Arab Countries; Abdel Wahaab, R. Wastewater Reuse in Egypt: Opportunities and Challenges, Consultation Meeting for Experts in the Arab World on the Situation of Wastewater Management, Dubai, UAE, 22 – 24 May, 2011.","*Parentheses mean date not given, estimated based on date of report and dates associated with other data.  Different figures associated with respective reports cited in ""Source"" ;  ;  ;  ;  ; AA"
887,YEM,Yemen,National,Total,Population Connected Rate,0,25,percent,2009,1,"Arab Countries Water Utility Association. (2010, March). Wastewater Reuse in Arab Countries","Date not given, estimated by EPI team based on date of report and dates associated with other data; units listed as Mm3, but assumption is this means million cubic meters, not 10^18. ;  ;  ;  ;  ; AA"
204,BEN,Benin,National,Total,Population Connected Rate,0,2.2,percent,2012,0,Benin Institute of Statistics and Economic Analysis,"Notes: 4.2% of households connected to sewer, versus 0.4% and 2.2% of wastewater connected to sewer and septic respectively ; http://www.insae-bj.org/2012/doc/indicateurs.pdf (translated version on box). See wastewater data on page 10 and 11 ;  ;  ;  ; NH"
16,ASM,American Samoa,Regional,Urban,Population Connected Rate,1,41.1,percent,2010,1,UNHabitat  and American Samoa Power Authority,EPI Estimations based on calculation: (urban population connected) / (urban population) = 70800/29158*100  ;  ;  ;  ;  ; WM
16,ASM,American Samoa,National,Total,Population Connected Rate,0,30,percent,1995,0,"Collection of Extracts on Wastewater (Theme 4 – Technology) from the Pacific regional consultation meeting on sustainable water management, Sigatoka, 2002.  (2002) ","Report says ""In 1995, approximately 30% of American Samoa households were served by one of ASPA’s centralized wastewater systems.""  This clearly refers to connection rate.  Unclear what it means for treatment rate. ;  ;  ;  ;  ; AA"
20,AND,Andorra,National,Total,Population Connected Rate,0,100,percent,2007,0,"United Nations Statistics Division.  (2011, March).  Environmental Indicators; Inland Water Resources; Wastewater.  ", ;  ;  ;  ;  ; AA
24,AGO,Angola,National,Total,Population Connected Rate,0,14,percent,2008,0,Pinsent Masons Water yearbook,"Note: header Is ""Urban WWTW"" and represents David Lloyd Owen's estimates. ; Corroborated by 2011 African Ministers’ Council on Water - Country Status Overview for Angola. ;  ;  ;  ; NH"
36,AUS,Australia,Regional,Urban,Population Connected Rate,0,87,percent,2004,1,OECD.StatExtracts,http://stats.oecd.org/ ;  ;  ;  ;  ; WM
