code,iso,country,Reporting Scale,Demog. Scale,Data Type,EPI Est?,Value,Unit,Year (MRYA),"Year Est? (0,1)",Source,,,,,,,,,,,,,,,,,,,,,,
12,DZA,Algeria,National,Total,Treatment Level,1,58.33333333,percent,2010,0,"Algeria Ministry of Water Resources. (2011, May 22-24).  Experts Consultation on Wastewater Management in the Arab World.  Presented by Hassina Hamouche;  (Check WHO & UNICEF Joint Monitoring Programme for Water Supply & Sanitation)","Total wastewater estimated based off amount of drinking water; produced wastewater increasing rapidly ; EPI Calculation from (Volume, Wastewater Treated / Volume, Wastewater Generated) ;  ;  ;  ; AA",,,,,,,,,,,,,,,,,,,,,
16,ASM,American Samoa,Regional,Urban,Treatment Level,1,99.7,percent,2010,1,"EPI calculation: (Volume, Wastewate inflow) / (Volume, Wastewater Outflow) = (3.14 mg/day) / (3.15 mg/day)*100", ;  ;  ;  ;  ; WM,,,,,,,,,,,,,,,,,,,,,
24,AGO,Angola,National,Total,Treatment Level,0,0,percent,2008,1,Pinsent Masons Water yearbook,"Note: header Is ""Urban WWTW"" and represents David Lloyd Owen's estimates. ; Corroborated by 2011 African Ministers’ Council on Water - Country Status Overview for Angola (p. 27):  Currently only five Angolan cities have sewerage networks, and only two of these five actually have some level of sewage treatment. The Luanda system has been categorized as being “in a state of virtual collapse”. ;  ;  ;  ; NH",,,,,,,,,,,,,,,,,,,,,
32,ARG,Argentina,National,Urban,Treatment Level,0,10,percent,2000,1,"UNEP, ""International Source Book On Environmentally Sound Technologies for Stormwater Management"" (2000).","EPI estimates year based on date of publication of report. ; Also reports:"" Proportion of treated level waste by level"": Primary: 0, Secondary: 100, Other: 0 ; Specifically: ""Table 5.5: Proportion of urban sewage treated before discharge and associated level of treatment per country."" ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
60,BMU,Bermuda,National,Total,Treatment Level,1,0,percent,2013,0,"Government of Bermuda, Ministry of Public Works","EPI estimates based on described evidence of no treatment before discharge; only holding tanks. ; Maintains “septage receiving facility” but otherwise no wastewater is treated before getting pumped back into the ocean. 
http://www.gov.bm/portal/server.pt?open=512&objID=930&&PageID=233088&mode=2&in_hi_userid=2&cached=true
See explanations: http://www.coexploration.org/bbsr/coral/html/body_monitoring_waste.htm, and http://www.bermuda-online.org/environ.htm
 ;  ;  ;  ; SG",,,,,,,,,,,,,,,,,,,,,
68,BOL,Bolivia,National,Urban,Treatment Level,0,30,percent,2000,1,"UNEP, ""International Source Book On Environmentally Sound Technologies
for Wastewater and Stormwater Management"" 2000.","EPI estimates year based on date of publication of report. ; Also reports:"" Proportion of treated level waste by level"": Primary: 33, Secondary: 67 Other: NA ; Specifically: ""Table 5.5: Proportion of urban sewage treated before discharge and associated level of treatment per country."" ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
72,BWA,Botswana,National,Total,Treatment Level,0,5,percent,2011,1,Pinsent Masons Water Yearbook 2012-2013, ;  ;  ;  ;  ; NH,,,,,,,,,,,,,,,,,,,,,
76,BRA,Brazil,National,Total,Treatment Level,0,20,perecnt,2000,1,"UNEP, ""International Source Book On Environmentally Sound Technologies for Stormwater Management"" (2000).","EPI estimates year based on date of publication of report. ; Also reports:"" Proportion of treated level waste by level"": Primary: 10, Secondary: 68, Other: 22 ; Specifically: ""Table 5.5: Proportion of urban sewage treated before discharge and associated level of treatment per country."" ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
854,BFA,Burkina Faso,National,Total,Treatment Level,1,0-5?,percent,2006,1,"State of the Environment Report for Burkina Faso, 2006","See p. 31: """"Anarchic draining of households liquid wastes and pits into public property and in the environment"". Suggest no or little treatment of sewage."" ; From David Lloyd Owen's spreadsheet for P-M Water Yearbook. ;  ;  ;  ; NH",,,,,,,,,,,,,,,,,,,,,
108,BDI,Burundi,National,Urban,Treatment Level,1,0,percent,2011,0,"UN Habitat Report,""Lake Victoria Region Water and Sanitation Initiative"" (2007) and USAID report, Helping Hands website","Report examining sewer connection and waste management of 5 cities found that none were connected to sewer or had waste management plans. ""None of the towns has a centralized sewage disposal system. Even on-site pit latrines are only available at a limited number of households"" NOTE however that this may focus more on sanitation  ; http://www.unhabitat.org/downloads/docs/5982_84899_Joint%20mission%20report%20Burundi%20-%20rev%20PVD%209%20Nov%2007.pdf ; Corroborated by USAID report on Helping Hands Website. Statement from the US AID Report ""Burundi Environmental Threats and Opportunities Assessment"" indicates no current regulation of wastewater treatment by gov: ""To compound these general threats, a clear mandate or authority does not exist in the government to regulate pollution, water usage, and wetland development. A new Water Directorate in MEEATU and upcoming Water Code promises to create coordination and clarity, but also potential inter-ministerial duplicity and confusion."" Suggests serveral wastewater projects will be beginning soon. Also notes concerns about ""insufficient and/or failing urban wastewater treatment infrastructure"" http://www.encapafrica.org/documents/biofor/USAID_Burundi_ETOA_Final_PUBLIC_0928.pdf Also appears to be major need for waste management in city of Bujumbura see http://www.handsforwaste.com/projects/burundi-bujumbura/ Although it looks like a project regarding waste water monitoring in Bujumbura may be starting up now (open bidding to UN just closed see: https://www.devex.com/en/projects/laboratory-equipment-for-quality-monitoring-and-analysis-of-wastewater-for-setemu-in-burundi) ;  ;  ; NH",,,,,,,,,,,,,,,,,,,,,
